title,year,runtime_min,genre,imdb_rating,director,votes,Gross,title_norm,year_norm,review_count,avg_review_rating,avg_review_len,fear_review_ratio,avg_fear_count,avg_fear_density,pos_ratio,neu_ratio,neg_ratio,runtime,log_votes
Alien,1979,117,"Horror, Sci-Fi",8.5,Ridley Scott,905275,$78.90M,alien,1979.0,10.0,8.9,971.4,0.7,4.8,0.029281866681343638,1.0,0.0,0.0,0,13.715995148563131
Psycho,1960,109,"Horror, Mystery, Thriller",8.5,Alfred Hitchcock,689068,$32.00M,psycho,1960.0,6.0,8.6,757.1666666666666,0.5,1.3333333333333333,0.012110321966202953,0.8333333333333334,0.0,0.0,0,13.443096690119487
The Shining,1980,146,"Drama, Horror",8.4,Stanley Kubrick,1051582,$44.02M,the shining,1980.0,7.0,8.714285714285714,1670.142857142857,0.8571428571428571,4.142857142857143,0.015360497049832165,1.0,0.0,0.0,0,13.86580720586467
The Thing,1982,109,"Horror, Mystery, Sci-Fi",8.2,John Carpenter,439793,$13.78M,the thing,1982.0,9.0,8.444444444444445,1935.0,0.8888888888888888,10.222222222222221,0.029639751083749506,0.8888888888888888,0.1111111111111111,0.0,0,12.994061714444936
Tumbbad,2018,104,"Drama, Fantasy, Horror",8.2,Rahi Anil Barve,53297,,tumbbad,2018.0,3.0,8.0,549.0,1.0,1.3333333333333333,0.02518390584020981,1.0,0.0,0.0,0,10.883654085997756
The Exorcist,1973,122,Horror,8.1,William Friedkin,422330,$232.91M,the exorcist,1973.0,3.0,8.333333333333334,1113.6666666666667,1.0,8.666666666666666,0.04353059385282351,0.6666666666666666,0.3333333333333333,0.0,0,12.953544645758026
Diabolique,1955,117,"Crime, Drama, Horror",8.1,Henri-Georges Clouzot,67456,$1.09M,diabolique,1955.0,2.0,10.0,1038.0,1.0,3.5,0.017767295597484276,1.0,0.0,0.0,0,11.119245636829277
Rosemary's Baby,1968,137,"Drama, Horror",8.0,Roman Polanski,223968,,rosemary's baby,1968.0,1.0,7.0,1685.0,1.0,4.0,0.0136986301369863,1.0,0.0,0.0,0,12.319262928402859
What Ever Happened to Baby Jane?,1962,134,"Drama, Horror, Thriller",8.0,Robert Aldrich,58904,$4.05M,what ever happened to baby jane?,1962.0,2.0,8.0,1435.0,0.5,1.0,0.006622516556291391,0.5,0.0,0.0,0,10.983681255680219
The Cabinet of Dr. Caligari,1920,67,"Horror, Mystery, Thriller",8.0,Robert Wiene,66749,,the cabinet of dr. caligari,1920.0,2.0,4.5,1400.5,1.0,4.5,0.017722473604826545,0.5,0.0,0.5,0,11.108709576262497
